timestamp,avg_update_ms,max_update_ms,fps_ms,players,zombies_loaded,zombies_simulated,loaded_cells,heap_used_mb,resend_buffer_bytes,recv_packets_total,sent_packets_total
2026-07-13_18-12-29,4.0,119.0,94.0,21.0,1324.0,0.0,180.0,45197.0,1491.0,611409,2962299
2026-07-13_18-12-45,4.0,111.0,98.0,21.0,1320.0,0.0,181.0,46053.0,40417.0,615561,2976655
2026-07-13_18-13-01,5.0,116.0,116.0,21.0,1252.0,0.0,183.0,46963.0,137.0,619406,2991514
2026-07-13_18-13-16,4.0,104.0,101.0,21.0,1265.0,0.0,179.0,47741.0,682.0,623001,3004593
2026-07-13_18-13-32,5.0,357.0,129.0,21.0,1218.0,0.0,176.0,48389.0,8464.0,626626,3018754
2026-07-13_18-13-51,4.0,115.0,100.0,21.0,1200.0,0.0,169.0,7648.0,5627.0,630869,3033203
2026-07-13_18-14-06,5.0,118.0,118.0,21.0,1238.0,0.0,171.0,8441.0,130.0,634372,3048659
2026-07-13_18-14-22,2.0,168.0,53.0,21.0,1298.0,0.0,175.0,9355.0,45437.0,638078,3064284
2026-07-13_18-14-38,4.0,111.0,101.0,22.0,1370.0,0.0,188.0,10477.0,1370.0,642250,3081489
2026-07-13_18-14-54,4.0,176.0,98.0,22.0,1315.0,0.0,189.0,11328.0,373.0,646508,3100396
2026-07-13_18-15-10,6.0,124.0,124.0,22.0,1139.0,0.0,181.0,12129.0,347.0,650369,3115415
2026-07-13_18-15-26,4.0,107.0,98.0,22.0,1136.0,0.0,184.0,12941.0,6121.0,653547,3129429
2026-07-13_18-15-42,4.0,181.0,95.0,22.0,1133.0,0.0,187.0,13715.0,24053.0,657406,3144775
2026-07-13_18-15-58,5.0,200.0,118.0,22.0,1126.0,0.0,188.0,14615.0,4285.0,661741,3160333
2026-07-13_18-16-14,5.0,117.0,117.0,22.0,1356.0,0.0,199.0,15550.0,17924.0,665780,3175903
2026-07-13_18-16-30,4.0,205.0,96.0,22.0,1279.0,0.0,198.0,16477.0,22417.0,669911,3192689
2026-07-13_18-16-46,4.0,189.0,92.0,22.0,1305.0,0.0,200.0,17479.0,714.0,673811,3209067
2026-07-13_18-17-02,8.0,165.0,165.0,22.0,1284.0,0.0,196.0,18381.0,240.0,678097,3224620
2026-07-13_18-17-18,5.0,189.0,105.0,22.0,1292.0,0.0,199.0,19465.0,2402.0,682290,3241762
2026-07-13_18-17-34,5.0,231.0,113.0,22.0,1285.0,0.0,203.0,20436.0,827.0,686260,3256877
2026-07-13_18-17-50,10.0,296.0,218.0,22.0,1338.0,0.0,202.0,7973.0,4219.0,690674,3273437
2026-07-13_18-18-06,5.0,116.0,116.0,22.0,1160.0,0.0,191.0,8380.0,2504.0,694809,3288402
2026-07-13_18-18-22,4.0,133.0,103.0,22.0,1128.0,0.0,191.0,9370.0,7822.0,698632,3303258
2026-07-13_18-18-38,3.0,115.0,82.0,22.0,1128.0,0.0,189.0,10391.0,27147.0,702561,3317857
2026-07-13_18-18-54,5.0,119.0,105.0,22.0,1129.0,0.0,184.0,11305.0,27297.0,706482,3332990
